title,text,subject,date
"Scientists in Geneva Develop New Vaccine for Meningitis","A team in Geneva has developed a new meningitis vaccine, showing 87% efficacy in early clinical trials.","News","March 16, 2025"
"WHO Reports 20% Decline in Global Cholera Cases","The World Health Organization announces a 20% drop in cholera cases in 2024 due to improved water sanitation.","News","March 15, 2025"
"AI Tool in Boston Detects Early Signs of Alzheimer’s Disease","A new AI system in Boston can detect Alzheimer’s disease up to five years earlier than traditional methods.","News","March 14, 2025"
"London Researchers Link Noise Pollution to Increased Hypertension","A study in London finds that noise pollution increases hypertension risk by 18% in urban populations.","News","March 13, 2025"
"Stem Cell Therapy Improves Vision in Blind Patients in Tokyo","Scientists in Tokyo used stem cell therapy to improve vision in 75% of blind patients in a recent trial.","News","March 12, 2025"
"UN Initiative in Kinshasa Reduces Infant Mortality by 15%","A UN program in Kinshasa has lowered infant mortality rates by 15% through better neonatal care in 2024.","News","March 11, 2025"
"FDA Approves New Wearable for Asthma Monitoring in Atlanta","A wearable device in Atlanta monitors asthma symptoms in real-time, gaining FDA approval for public use.","News","March 10, 2025"
"Amsterdam Study Finds Link Between Sleep and Anxiety Reduction","Researchers in Amsterdam discover that better sleep reduces anxiety symptoms by 35% in adults.","News","March 9, 2025"
"CDC Announces 12% Drop in U.S. Smoking Rates in 2024","The CDC reports a 12% decline in smoking rates across the U.S. due to new anti-smoking campaigns.","News","March 8, 2025"
"New Chikungunya Vaccine Shows 85% Efficacy in Singapore","A chikungunya vaccine developed in Singapore proves 85% effective in protecting against the virus in trials.","News","March 7, 2025"
"Scientists in Paris Develop New Drug for Rheumatoid Arthritis","A new drug in Paris reduces rheumatoid arthritis symptoms by 40% in patients, according to recent trials.","News","March 6, 2025"
"Global Health Experts Warn of Rising Obesity in Children","The WHO reports a 22% increase in childhood obesity globally, calling for urgent dietary interventions.","News","March 5, 2025"
"Smartwatch in Berlin Predicts Seizures with 90% Accuracy","A smartwatch developed in Berlin can predict seizures in epilepsy patients with 90% accuracy.","News","March 4, 2025"
"European Union Reports Decline in Alcohol-Related Deaths","The EU announces a 10% drop in alcohol-related deaths in 2024, thanks to stricter drinking laws.","News","March 3, 2025"
